11736
33
6,1,0,0,0,33,31,22
163,1,0,0,22,38,43,47
94,1,0,0,47,42,35,73
29,1,42,0,47,68,48,78
12,2,0,0,0,47,44,31
164,2,47,0,0,72,38,47
195,3,0,0,0,24,46,36
129,2,0,0,47,30,24,80
119,3,24,0,0,49,35,41
43,3,24,0,41,62,50,62
120,3,62,0,0,112,38,23
159,4,0,0,0,38,32,33
2,2,30,0,0,77,28,25
38,3,24,38,62,72,82,92
167,5,0,0,0,29,26,43
144,5,29,0,0,75,21,44
186,4,0,32,0,29,57,30
61,4,0,32,30,21,54,61
96,2,0,0,25,41,46,73
21,3,24,0,92,73,49,138
32,4,21,0,33,41,22,54
183,1,68,0,0,88,41,50
175,2,41,0,0,85,25,29
13,1,38,0,50,65,42,76
8,1,0,42,47,38,68,77
87,1,38,0,0,67,39,45
37,3,73,0,0,110,41,41
190,5,0,21,0,44,67,26
39,2,0,0,29,30,38,56
193,1,38,39,50,80,79,72
172,4,21,22,0,48,47,24
177,2,47,25,56,79,55,78
27,4,0,0,24,29,39,55
